,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cv5d_diff_rate
170,20170922,GS글로벌,1250,3095,3120,3010,3010,500871,-90.0,-0.02903225806451613,3142.0,-0.01257071024512885,-1.0,-0.04807692307692308
171,20170925,GS글로벌,1250,3010,3055,2955,2970,414293,-40.0,-0.013289036544850499,3086.0,-0.01782304264799491,-1.0,-0.025806451612903226
172,20170926,GS글로벌,1250,2915,3045,2915,3020,179841,50.0,0.016835016835016835,3044.0,-0.013609850939727802,0.0,0.019933554817275746
173,20170927,GS글로벌,1250,3010,3085,3010,3070,215864,50.0,0.016556291390728478,3034.0,-0.0032851511169513796,1.0,0.021885521885521887
174,20170928,GS글로벌,1250,3080,3085,2990,3035,297427,-35.0,-0.011400651465798045,3021.0,-0.0042847725774555045,0.0,0.004966887417218543
175,20170929,GS글로벌,1250,3015,3060,3015,3035,142560,0.0,0.0,3026.0,0.0016550810989738498,0.0,-0.014657980456026058
176,20171010,GS글로벌,1250,3045,3060,3010,3025,222649,-10.0,-0.0032948929159802307,3037.0,0.0036351619299405157,0.0,0.014827018121911038
177,20171011,GS글로벌,1250,3025,3090,3015,3080,191948,55.0,0.01818181818181818,3049.0,0.003951267698386566,0.0,0.009884678747940691
178,20171012,GS글로벌,1250,3080,3105,3055,3065,185652,-15.0,-0.00487012987012987,3048.0,-0.00032797638570022957,0.0,0.009917355371900827
179,20171013,GS글로벌,1250,3065,3075,3030,3055,231752,-10.0,-0.0032626427406199023,3052.0,0.0013123359580052493,-1.0,-0.022727272727272728
180,20171016,GS글로벌,1250,3065,3075,2995,3010,223090,-45.0,-0.014729950900163666,3047.0,-0.00163826998689384,-1.0,-0.01631321370309951
181,20171017,GS글로벌,1250,3000,3050,2995,3015,267259,5.0,0.0016611295681063123,3045.0,-0.0006563833278634722,0.0,-0.03273322422258593
182,20171018,GS글로벌,1250,3010,3015,2950,2955,430493,-60.0,-0.01990049751243781,3020.0,-0.008210180623973728,0.0,0.0016611295681063123
183,20171019,GS글로벌,1250,2955,3015,2955,3015,222579,60.0,0.02030456852791878,3010.0,-0.0033112582781456954,0.0,0.03150912106135987
184,20171020,GS글로벌,1250,3020,3110,3020,3110,326509,95.0,0.03150912106135987,3021.0,0.003654485049833887,1.0,0.047377326565143825
185,20171023,GS글로벌,1250,3125,3145,3070,3095,258069,-15.0,-0.00482315112540193,3038.0,0.005627275736511089,0.0,0.028192371475953566
186,20171024,GS글로벌,1250,3095,3135,3090,3100,143983,5.0,0.0016155088852988692,3055.0,0.005595786701777485,0.0,-0.014469453376205787
187,20171025,GS글로벌,1250,3105,3115,3060,3065,180368,-35.0,-0.01129032258064516,3077.0,0.007201309328968904,0.0,-0.004846526655896607
188,20171026,GS글로벌,1250,3065,3115,3040,3080,264942,15.0,0.004893964110929853,3090.0,0.004224894377640559,0.0,0.0016129032258064516
